INFO:     Started server process [6664]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
ERROR:    [Errno 10048] error while attempting to bind on address ('0.0.02026-06-23 14:39:05,869 [INFO] POST /auth/login -> 200 (0.556s) from 127.0.0.1
2026-06-23 14:39:08,045 [INFO] GET /hr/workforce/reports -> 200 (0.122s) from 127.0.0.1
2026-06-23 14:39:41,961 [INFO] OPTIONS /auth/me -> 200 (0.015s) from 127.0.0.1
2026-06-23 14:39:42,014 [INFO] OPTIONS /auth/me -> 200 (0.062s) from 127.0.0.1
2026-06-23 14:39:42,137 [INFO] GET /auth/me -> 200 (0.102s) from 127.0.0.1
2026-06-23 14:39:42,154 [INFO] GET /auth/me -> 200 (0.006s) from 127.0.0.1
2026-06-23 14:39:48,378 [INFO] OPTIONS /auth/login -> 200 (0.000s) from 127.0.0.1
2026-06-23 14:39:48,643 [INFO] POST /auth/login -> 200 (0.257s) from 127.0.0.1
2026-06-23 14:40:08,449 [INFO] OPTIONS /hr/onboarding/dashboard -> 200 (0.002s) from 127.0.0.1
2026-06-23 14:40:08,451 [INFO] OPTIONS /hr/onboarding/dashboard -> 200 (0.002s) from 127.0.0.1
2026-06-23 14:40:08,622 [INFO] GET /hr/onboarding/dashboard -> 200 (0.169s) from 127.0.0.1
2026-06-23 14:40:08,644 [INFO] GET /hr/onboarding/dashboard -> 200 (0.013s) from 127.0.0.1
2026-06-23 14:40:16,337 [INFO] OPTIONS /hr/workforce/dashboard -> 200 (0.001s) from 127.0.0.1
2026-06-23 14:40:16,339 [INFO] OPTIONS /hr/workforce/dashboard -> 200 (0.005s) from 127.0.0.1
2026-06-23 14:40:17,621 [INFO] GET /hr/workforce/dashboard -> 200 (1.280s) from 127.0.0.1
2026-06-23 14:40:17,638 [INFO] GET /hr/workforce/dashboard -> 200 (0.015s) from 127.0.0.1
2026-06-23 14:40:19,847 [INFO] OPTIONS /hr/workforce/plans -> 200 (0.000s) from 127.0.0.1
2026-06-23 14:40:19,850 [INFO] OPTIONS /hr/departments -> 200 (0.001s) from 127.0.0.1
2026-06-23 14:40:19,852 [INFO] OPTIONS /hr/employees -> 200 (0.001s) from 127.0.0.1
